iter	Passed	Remaining
563	2647	2046
564	2651	2041
565	2655	2036
566	2662	2032
567	2668	2029
568	2674	2026
569	2678	2020
570	2684	2016
571	2688	2011
572	2692	2006
573	2696	2001
574	2700	1996
575	2705	1991
576	2709	1986
577	2713	1980
578	2716	1975
579	2721	1970
580	2725	1965
581	2729	1960
582	2733	1955
583	2737	1949
584	2741	1944
585	2745	1939
586	2749	1934
587	2752	1928
588	2756	1923
589	2760	1918
590	2764	1913
591	2768	1908
592	2772	1903
593	2776	1897
594	2780	1892
595	2784	1887
596	2789	1882
597	2793	1878
598	2797	1872
599	2801	1867
600	2805	1862
601	2809	1857
602	2813	1852
603	2817	1847
604	2822	1842
605	2826	1837
606	2830	1832
607	2834	1827
608	2838	1822
609	2843	1818
610	2850	1814
611	2856	1810
612	2860	1805
613	2864	1800
614	2870	1796
615	2874	1791
616	2878	1786
617	2882	1781
618	2886	1776
619	2890	1771
620	2894	1766
621	2898	1761
622	2902	1756
623	2906	1751
624	2910	1746
625	2915	1741
626	2919	1736
627	2923	1731
628	2927	1726
629	2931	1721
630	2936	1717
631	2940	1712
632	2944	1706
633	2948	1701
634	2952	1696
635	2956	1692
636	2960	1687
637	2964	1682
638	2968	1677
639	2972	1672
640	2976	1667
641	2980	1662
642	2984	1657
643	2988	1652
644	2992	1647
645	2996	1642
646	3000	1636
647	3003	1631
648	3007	1626
649	3011	1621
650	3015	1616
651	3019	1611
652	3023	1606
653	3028	1602
654	3035	1598
655	3042	1595
656	3046	1590
657	3051	1585
658	3055	1581
659	3060	1576
660	3064	1571
661	3068	1566
662	3072	1561
663	3076	1556
664	3080	1551
665	3084	1546
666	3088	1542
667	3092	1537
668	3096	1532
669	3100	1527
670	3105	1522
671	3109	1517
672	3113	1512
673	3117	1507
674	3121	1502
675	3125	1497
676	3130	1493
677	3134	1488
678	3138	1483
679	3142	1478
680	3146	1474
681	3150	1469
682	3154	1464
683	3158	1459
684	3162	1454
685	3166	1449
686	3171	1444
687	3174	1439
688	3178	1434
689	3182	1429
690	3187	1425
691	3191	1420
692	3195	1415
693	3199	1410
694	3203	1406
695	3207	1401
696	3211	1396
697	3215	1391
698	3219	1386
699	3223	1381
700	3230	1377
701	3237	1374
702	3241	1369
703	3245	1364
704	3249	1359
705	3256	1355
706	3260	1351
707	3264	1346
708	3269	1341
709	3272	1336
710	3276	1331
711	3281	1327
712	3285	1322
713	3289	1317
714	3292	1312
715	3296	1307
716	3301	1302
717	3304	1298
718	3308	1293
719	3312	1288
720	3316	1283
721	3321	1278
722	3325	1273
723	3329	1269
724	3333	1264
725	3337	1259
726	3341	1254
727	3345	1249
728	3349	1245
729	3353	1240
730	3357	1235
731	3361	1230
732	3365	1225
733	3369	1221
734	3373	1216
735	3377	1211
736	3381	1206
